@title,Bahasa Indonesia
@language,Ina
@scale,auto
@appli,100 - Do not change
@version,2.22 - Do not change
@author,Ig : @war_unite
#00000,Menggunakan...
#00001,Berangkat
#00002,Ayo pergi !
#00003,Aku lapar
#00004,Tidak cukup
#00005,Luka
#00006,Berlayar!
#00007,Oh!
#00008,Selesai!
#00009,Tidak ada kabin
#00010,Belum
#00011,Lagi
#00012,Hmm
#00013,Hmm...
#00014,Ha!
#00015,Aku melakukan nya!
#00016,Kau menangkapku...
#00017,Turun...
#00018,Ho ho ho
#00019,Hadiah
#00020,Kerja bagus
#00021,Aku kalah
#00022,"Hai, disana"
#00023,Aduh
#00024,Hold penuh...
#00025,Sampai...
#00026,Stamina pulih!
#00027,#
#00028,Uang tidak cukup
#00029,Stock tidak cukup
#00030,Selamat datang!
#00031,=#00027
#00032,Berat...
#00033,Sudah selesai
#00034,Terimakasih!
#00035,Bagus!
#00036,=#00030
#00037,apa yang bisa saya bantu?
#00038,Tidak ada uang
#00039,Tidak ada resources
#00040,Brig penuh...
#00041,Seorang musuh!
#00042,=#00002
#00043,Isi ulang stock ♪
#00044,Wehh...
#00045,Tadi itu sulit
#00046,Ekpansi kapal
#00047,Ekpansi pulau
#00048,Mudah didapat
#00049,Equipment berat
#00050,Senjata berat
#00051,Armor berat
#00052,Ayo bergerak!
#00053,Tidak ada jalan...
#00054,Penuh...
#00055,Seekor monster!
#00056,Mengerikan...
#00057,Aku pergi...
#00058,Aku akan coba!
#00059,Yeeey!
#00060,"Ciprat, Ciprat"
#00061,Hee hee!
#00062,Ayo menari!
#00063,"Bam, bam"
#00064,Slice & dice!
#00065,Fire!
#00066,Hit!
#00067,"Dot, dash..."
#00068,"Dash, dot..."
#00069,Big game
#00070,La la la ♪
#00071,Harta karun
#00072,Glegeg!
#00073,Yum!
#00074,Aaah!
#00075,Tumbuh!
#00076,Aww!
#00077,Imut :3
#00078,hadeeh
#00079,Ehem?
#00080,Wow!
#00081,Cantik
#00082,Plis
#00083,Cantik
#00084,Membersihkan ♪
#00085,...
#00086,Terangnya
#00087,Pilihan bagus
#00088,Normal C.
#00089,Kalahkan 1200 Blobbins!
#00090,Kalahkan 200 Metaboks!
#00091,Kalahkan 400 Dropplets!
#00092,Kalahkan 200 Sassas!
#00093,Kalahkan 100 Drazillas!
#00094,Kalahkan 100 Spikeons!
#00095,Kalahkan 600 Thanatoses!
#00096,Kalahkan 400 Firajes!
#00097,Kalahkan 100 Reddras!
#00098,Kalahkan 600 Sneaks!
#00099,Kalahkan 200 Shelbies!
#00100,Kalahkan 400 Pyons!
#00101,Kalahkan 800 Moeyamas!
#00102,Kalahkan 7500 Mandragoras!
#00103,Kalahkan 100 Wizzles!
#00104,Kalahkan 800 Greedras!
#00105,Kalahkan 1200 Dark Sparklers!
#00106,Kalahkan 300 Blinkos!
#00107,Kalahkan 600 Jellios!
#00108,Kalahkan 200 Stingers!
#00109,Kalahkan 400 Snackles!
#00110,Kalahkan 800 Merbles!
#00111,Kalahkan 7500 Broccolins!
#00112,Kalahkan 1200 Hermit Crabbies!
#00113,Kalahkan 300 Trents!
#00114,Kalahkan 1200 Pyonpos!
#00115,Kalahkan 200 Bolems!
#00116,Kalahkan 600 Jabbers!
#00117,Kalahkan 200 Electrahops!
#00118,Kalahkan 400 Shelldons!
#00119,Kalahkan 800 Mandragoras!
#00120,Kalahkan 7500 Molezos!
#00121,Kalahkan 800 Salimons!
#00122,Kalahkan 200 Hifutekis!
#00123,Kalahkan 900 Eelgors!
#00124,Kalahkan 300 Mr. Weensies!
#00125,Kalahkan 600 Squidos!
#00126,Kalahkan 200 Twinsels!
#00127,Kalahkan 400 Pastypuffs!
#00128,Kalahkan 800 Broccolins!
#00129,Kalahkan 3000 Salimons!
#00130,Kalahkan 1100 Skeltons!
#00131,Kalahkan 300 Stumpers!
#00132,Kalahkan 800 Alpaca Riders!
#00133,Kalahkan 200 Rock Golems!
#00134,Kalahkan 600 Blobbins!
#00135,Kalahkan 200 Puffies!
#00136,Kalahkan 800 Skelets!
#00137,Kalahkan 7300 Ickles!
#00138,Kalahkan 300 Hifutekis!
#00139,Kalahkan 200 Stumpers!
#00140,Kalahkan 400 Cobrashes!
#00141,Kalahkan 200 Hotalot Devils!
#00142,Kalahkan 600 Metaboks!
#00143,Kalahkan 400 Moeyamas!
#00144,Kalahkan 800 Crabbos!
#00145,Kalahkan 7200 Hermit Crabbies!
#00146,Kalahkan 1100 Kappataros!
#00147,Kalahkan 800 Fleanixes!
#00148,Kalahkan 300 Gyozans!
#00149,Kalahkan 200 Seal Knights!
